,accommodates,review_scores_rating,bedrooms,bathrooms,beds,price,geometry,X,Y
103,2,100.0,1.0,1.0,1.0,71.0,POINT (1493447.011460257 6898990.834384729),1493447.011460257,6898990.834384729
107,4,92.0,2.0,2.0,2.0,140.0,POINT (1494087.644519249 6898567.506023929),1494087.6445192494,6898567.5060239285
109,3,90.0,1.0,1.0,2.0,65.0,POINT (1494042.316662996 6899221.324933395),1494042.3166629956,6899221.324933395
111,6,90.0,3.0,1.5,6.0,230.0,POINT (1494068.002191519 6898434.286963712),1494068.002191519,6898434.286963712
112,12,99.0,4.0,2.0,6.0,199.0,POINT (1494087.399395239 6899019.090765632),1494087.399395239,6899019.090765632
114,4,98.0,2.0,1.0,1.0,95.0,POINT (1493949.370970573 6898479.122212422),1493949.3709705728,6898479.122212422
115,2,100.0,1.0,1.0,1.0,75.0,POINT (1493772.119598481 6899034.909646763),1493772.1195984813,6899034.909646763
117,4,100.0,3.0,1.5,5.0,90.0,POINT (1494427.620070995 6899213.877333104),1494427.6200709948,6899213.877333104
119,4,97.0,2.0,1.0,4.0,115.0,POINT (1493460.777717171 6899562.611764426),1493460.7777171712,6899562.611764426
120,4,91.0,1.0,1.0,2.0,160.0,POINT (1494245.488220666 6898270.008419646),1494245.488220666,6898270.008419646
121,2,100.0,1.0,1.0,1.0,59.0,POINT (1494301.844971092 6899082.456459885),1494301.844971092,6899082.4564598845
122,2,100.0,1.0,1.0,1.0,98.0,POINT (1493827.94807991 6898397.419067905),1493827.9480799101,6898397.419067905
123,2,89.0,1.0,1.5,1.0,35.0,POINT (1493767.834434836 6899278.495434972),1493767.834434836,6899278.4954349715
125,3,95.0,2.0,1.0,2.0,150.0,POINT (1493272.249747966 6898585.724314599),1493272.2497479662,6898585.724314599
126,3,80.0,1.0,1.0,1.0,97.0,POINT (1494212.990036006 6898586.5398915),1494212.9900360056,6898586.5398915
127,2,89.0,1.0,1.0,2.0,60.0,POINT (1494187.071803602 6898750.910428064),1494187.071803602,6898750.910428064
128,4,100.0,2.0,1.0,2.0,90.0,POINT (1494300.187107835 6898295.388425442),1494300.1871078347,6898295.388425442
129,2,92.0,1.0,1.0,1.0,42.0,POINT (1493573.64802488 6899037.465100984),1493573.6480248799,6899037.465100984
130,2,100.0,1.0,1.0,1.0,80.0,POINT (1494183.66437014 6898554.544622771),1494183.6643701396,6898554.5446227705
131,7,88.0,2.0,1.5,2.0,220.0,POINT (1493738.788430657 6898555.144246086),1493738.7884306572,6898555.1442460865
132,2,100.0,1.0,1.0,1.0,100.0,POINT (1493466.554371025 6898437.577349329),1493466.554371025,6898437.577349329
133,2,80.0,1.0,1.0,1.0,55.0,POINT (1494467.842398341 6899151.834583002),1494467.8423983406,6899151.834583002
135,6,95.0,2.0,1.0,6.0,119.0,POINT (1493859.233727294 6899086.82255709),1493859.233727294,6899086.82255709
136,2,90.0,1.0,1.0,1.0,39.0,POINT (1493424.11722694 6899642.419542974),1493424.1172269396,6899642.419542974
137,2,96.0,1.0,1.0,1.0,50.0,POINT (1493874.185828982 6898545.161328132),1493874.1858289822,6898545.161328132
138,1,100.0,1.0,1.0,1.0,27.0,POINT (1494145.788498112 6898791.027009268),1494145.7884981118,6898791.027009268
139,2,96.0,1.0,1.0,1.0,21.0,POINT (1494227.013984467 6898784.313366819),1494227.0139844671,6898784.313366819
140,2,96.0,1.0,1.0,1.0,60.0,POINT (1493813.000360193 6898620.423597436),1493813.0003601934,6898620.423597436
141,4,100.0,1.0,1.0,1.0,70.0,POINT (1493828.152321914 6899352.019187339),1493828.1523219142,6899352.019187339
142,3,100.0,1.0,1.0,2.0,70.0,POINT (1493668.596717693 6898661.253636524),1493668.5967176927,6898661.253636524
143,3,91.0,2.0,1.0,2.0,73.0,POINT (1493274.506131613 6898487.701223778),1493274.5061316127,6898487.701223778
144,3,92.0,1.0,1.0,2.0,72.0,POINT (1493613.244293574 6898973.736251107),1493613.2442935745,6898973.736251107
145,4,99.0,1.0,1.0,2.0,50.0,POINT (1494149.395697328 6899062.941879823),1494149.3956973283,6899062.941879823
146,2,80.0,1.0,1.0,1.0,25.0,POINT (1494317.231571746 6898686.963211357),1494317.2315717463,6898686.963211357
147,2,98.0,1.0,1.0,1.0,69.0,POINT (1493198.456690079 6899507.306211),1493198.4566900786,6899507.306211
148,1,87.0,1.0,1.0,1.0,60.0,POINT (1494424.456985103 6899211.245034988),1494424.456985103,6899211.245034988
149,4,98.0,2.0,2.0,2.0,125.0,POINT (1493378.875684068 6898910.526857319),1493378.8756840683,6898910.526857319
150,2,100.0,1.0,1.0,2.0,50.0,POINT (1493292.388413876 6898951.0699762),1493292.388413876,6898951.0699762
151,2,90.0,1.0,1.0,1.0,30.0,POINT (1493962.706551625 6899395.540477828),1493962.7065516247,6899395.540477828
152,6,90.0,5.0,2.0,6.0,100.0,POINT (1493722.610753925 6899823.095543017),1493722.6107539248,6899823.095543017
153,4,81.0,1.0,1.0,3.0,55.0,POINT (1493510.175390204 6899582.5471142),1493510.1753902042,6899582.5471142
154,2,89.0,1.0,1.0,2.0,70.0,POINT (1493564.733237103 6898658.345355092),1493564.7332371033,6898658.345355092
156,2,40.0,0.0,1.0,2.0,39.0,POINT (1494049.161770923 6899205.688511389),1494049.1617709226,6899205.688511389
157,1,97.0,1.0,0.5,1.0,28.0,POINT (1493269.792040669 6898610.323453084),1493269.7920406687,6898610.323453084
158,4,100.0,1.0,1.0,2.0,69.0,POINT (1493181.086872171 6898704.408824765),1493181.0868721711,6898704.408824765
159,3,92.0,2.0,1.0,2.0,95.0,POINT (1493317.325407595 6898638.758829567),1493317.325407595,6898638.758829567
160,1,97.0,1.0,0.5,1.0,26.0,POINT (1493264.745561129 6898503.565937159),1493264.745561129,6898503.565937159
161,4,95.0,1.0,1.0,4.0,80.0,POINT (1494012.231966802 6898613.829856964),1494012.2319668022,6898613.829856964
163,5,97.0,3.0,1.0,5.0,120.0,POINT (1494259.606096434 6898245.955173851),1494259.6060964337,6898245.955173851
164,4,98.0,1.0,1.0,1.0,45.0,POINT (1493992.848420969 6899402.417115344),1493992.8484209694,6899402.417115344
165,3,84.0,1.0,1.0,2.0,39.0,POINT (1493589.690940166 6898389.192780256),1493589.6909401657,6898389.192780256
166,2,100.0,1.0,1.0,1.0,23.0,POINT (1494250.494343007 6899120.946023026),1494250.4943430065,6899120.946023026
168,4,100.0,1.0,1.0,2.0,120.0,POINT (1493507.482291051 6898775.826556932),1493507.4822910512,6898775.826556932
169,4,80.0,0.0,1.0,2.0,70.0,POINT (1493668.96203019 6899629.798559584),1493668.9620301903,6899629.798559584
170,3,100.0,1.0,1.0,1.0,82.0,POINT (1493308.280882975 6898513.018885607),1493308.2808829749,6898513.018885607
173,2,100.0,1.0,1.0,1.0,65.0,POINT (1493963.247200616 6898888.433925474),1493963.2472006157,6898888.433925474
175,4,96.0,2.0,1.0,4.0,110.0,POINT (1494064.057605992 6898310.781292444),1494064.0576059916,6898310.781292444
176,2,91.0,1.0,1.0,1.0,48.0,POINT (1494317.818936649 6898226.491663693),1494317.818936649,6898226.4916636925
177,5,86.0,2.0,1.0,3.0,89.0,POINT (1493211.291588759 6899599.250714804),1493211.2915887593,6899599.250714804
178,2,88.0,1.0,1.0,1.0,37.0,POINT (1493108.561350613 6898726.708674905),1493108.5613506127,6898726.708674905
179,4,83.0,1.0,1.0,2.0,74.0,POINT (1493391.801878064 6899912.137081671),1493391.8018780637,6899912.137081671
180,3,75.0,1.0,1.0,2.0,50.0,POINT (1493204.149696882 6898671.067994499),1493204.1496968819,6898671.067994499
181,10,97.0,4.0,2.0,7.0,189.0,POINT (1493335.614618148 6899802.684374965),1493335.614618148,6899802.684374965
182,3,100.0,2.0,1.0,2.0,95.0,POINT (1493199.078078329 6898493.638549338),1493199.0780783286,6898493.638549338
183,2,98.0,1.0,1.0,1.0,26.0,POINT (1494306.054121124 6898810.679881287),1494306.0541211236,6898810.679881287
185,3,95.0,2.0,1.0,1.0,45.0,POINT (1494160.083709966 6898914.618887138),1494160.0837099662,6898914.618887138
186,3,98.0,1.0,1.0,1.0,110.0,POINT (1494384.705898407 6899273.401325464),1494384.7058984071,6899273.401325464
187,2,99.0,1.0,1.0,1.0,30.0,POINT (1493991.978002195 6899164.731526342),1493991.9780021945,6899164.731526342
188,2,93.0,1.0,1.0,2.0,46.0,POINT (1494193.122082442 6898850.378068042),1494193.1220824418,6898850.378068042
189,2,100.0,1.0,1.0,1.0,28.0,POINT (1494133.099990088 6899116.740233663),1494133.0999900878,6899116.740233663
191,2,90.0,1.0,1.0,2.0,49.0,POINT (1494507.138848079 6898850.206679023),1494507.1388480794,6898850.206679023
192,5,93.0,2.0,1.0,3.0,69.0,POINT (1493098.410450113 6898983.406130174),1493098.4104501132,6898983.406130174
193,2,60.0,0.0,1.0,1.0,50.0,POINT (1493455.075344204 6898751.026354374),1493455.075344204,6898751.026354374
194,2,95.0,1.0,1.0,1.0,70.0,POINT (1493681.895558735 6899071.378404178),1493681.8955587351,6899071.378404178
195,2,100.0,1.0,1.0,2.0,100.0,POINT (1493924.386597495 6899145.606358957),1493924.3865974946,6899145.6063589575
197,4,90.0,2.0,1.5,2.0,75.0,POINT (1493323.295892538 6899330.980161463),1493323.295892538,6899330.980161463
198,4,93.0,2.0,2.0,2.0,190.0,POINT (1493616.212892985 6898871.083284963),1493616.212892985,6898871.083284963
199,2,100.0,1.0,1.0,1.0,56.0,POINT (1493814.134479821 6898687.743047155),1493814.1344798212,6898687.743047155
201,2,97.0,1.0,2.0,1.0,55.0,POINT (1494293.492443738 6899008.18770978),1494293.492443738,6899008.18770978
202,2,100.0,2.0,1.0,1.0,56.0,POINT (1494546.28600312 6899187.335433958),1494546.2860031202,6899187.335433958
203,3,95.0,1.0,1.0,1.0,75.0,POINT (1493565.687472811 6898634.256402756),1493565.687472811,6898634.256402756
204,2,97.0,1.0,1.0,2.0,50.0,POINT (1493529.648032478 6898416.811794126),1493529.6480324776,6898416.811794126
205,3,100.0,2.0,1.0,2.0,48.0,POINT (1493692.470353529 6899046.810259876),1493692.470353529,6899046.810259876
206,5,97.0,1.0,1.0,2.0,50.0,POINT (1494494.524414028 6898903.046030826),1494494.5244140276,6898903.046030826
207,2,100.0,1.0,1.0,1.0,63.0,POINT (1493169.430029552 6899084.856613729),1493169.4300295522,6899084.856613729
208,6,93.0,2.0,1.0,2.0,90.0,POINT (1493190.042792406 6899238.487982104),1493190.042792406,6899238.487982104
209,2,88.0,1.0,1.0,1.0,35.0,POINT (1493258.394860869 6899705.483759026),1493258.3948608686,6899705.483759026
210,2,100.0,1.0,1.0,1.0,50.0,POINT (1493557.81855342 6899601.274710381),1493557.8185534198,6899601.274710381
211,3,100.0,1.0,1.0,2.0,60.0,POINT (1493696.859505246 6899302.990373845),1493696.859505246,6899302.990373845
213,4,100.0,2.0,1.5,2.0,69.0,POINT (1493910.977091322 6898691.310517301),1493910.977091322,6898691.310517301
214,2,95.0,1.0,1.0,1.0,85.0,POINT (1493452.078659533 6898430.029738842),1493452.0786595326,6898430.029738842
215,2,94.0,1.0,1.0,1.0,31.0,POINT (1493394.825679594 6899142.657816238),1493394.8256795944,6899142.657816238
216,4,96.0,2.0,1.0,3.0,130.0,POINT (1494339.83771712 6898686.742319694),1494339.8377171196,6898686.742319694
217,2,97.0,1.0,1.0,1.0,37.0,POINT (1493339.900691829 6899161.365378204),1493339.9006918294,6899161.365378204
218,2,97.0,1.0,1.0,1.0,35.0,POINT (1493851.366066666 6899285.663780807),1493851.3660666659,6899285.663780807
219,2,99.0,1.0,1.0,1.0,37.0,POINT (1494260.908040124 6899228.261215015),1494260.9080401238,6899228.261215015
220,4,91.0,1.0,1.0,2.0,47.0,POINT (1494104.406582724 6899253.285012203),1494104.4065827238,6899253.285012203
221,3,93.0,1.0,1.0,1.0,20.0,POINT (1493465.619111562 6899777.736374279),1493465.6191115624,6899777.736374279
222,3,98.0,1.0,1.0,2.0,95.0,POINT (1493633.612585586 6898807.654156294),1493633.6125855865,6898807.654156294
224,3,100.0,1.0,1.0,3.0,85.0,POINT (1493218.818380072 6898998.358815685),1493218.8183800722,6898998.358815685
225,2,80.0,1.0,1.0,2.0,46.0,POINT (1493817.909236838 6899223.845941828),1493817.9092368376,6899223.845941828
226,1,98.0,1.0,0.5,1.0,29.0,POINT (1493511.292398449 6899674.709019058),1493511.2923984486,6899674.709019058
227,4,100.0,1.0,1.0,2.0,59.0,POINT (1494121.369977117 6898718.199873663),1494121.369977117,6898718.199873663
229,2,100.0,1.0,1.5,1.0,40.0,POINT (1493779.595980723 6898634.200596443),1493779.5959807234,6898634.200596443
231,2,96.0,1.0,2.0,1.0,50.0,POINT (1494532.838377991 6898844.372400533),1494532.8383779908,6898844.372400533
232,2,100.0,1.0,1.0,1.0,41.0,POINT (1493381.350404814 6899116.830268777),1493381.350404814,6899116.830268777
233,2,100.0,1.0,1.0,1.0,49.0,POINT (1493457.036870147 6898812.329955914),1493457.036870147,6898812.329955914
234,2,100.0,1.0,1.0,1.0,45.0,POINT (1493697.110130529 6898941.930971314),1493697.110130529,6898941.930971314
235,4,93.0,2.0,1.0,3.0,55.0,POINT (1493906.009015183 6899421.83921627),1493906.0090151834,6899421.8392162705
236,4,100.0,2.0,1.0,2.0,120.0,POINT (1494419.854024408 6898801.944631007),1494419.8540244077,6898801.9446310075
238,5,87.0,2.0,1.0,3.0,80.0,POINT (1493367.345442837 6898484.52964655),1493367.3454428366,6898484.52964655
241,2,90.0,1.0,1.0,1.0,50.0,POINT (1493818.809755592 6899308.253716953),1493818.8097555921,6899308.253716953
242,2,98.0,1.0,1.0,1.0,85.0,POINT (1493588.681506819 6898701.361943663),1493588.6815068189,6898701.361943663
243,2,100.0,1.0,1.0,1.0,48.0,POINT (1493168.25054052 6899329.502257022),1493168.2505405196,6899329.502257022
244,2,100.0,0.0,1.0,1.0,68.0,POINT (1493939.398112013 6899712.176281505),1493939.3981120125,6899712.176281505
246,2,96.0,1.0,1.0,1.0,33.0,POINT (1493413.894061256 6898820.463010505),1493413.8940612555,6898820.463010505
247,3,83.0,1.0,1.0,1.0,68.0,POINT (1493621.904502861 6899004.472130878),1493621.9045028607,6899004.472130878
248,2,98.0,1.0,1.0,1.0,58.0,POINT (1494317.961806958 6899026.272756919),1494317.961806958,6899026.272756919
249,1,87.0,1.0,1.0,1.0,30.0,POINT (1493322.493118973 6899760.927952019),1493322.4931189734,6899760.9279520195
250,2,96.0,1.0,1.0,1.0,42.0,POINT (1494018.139694651 6899591.237679158),1494018.1396946507,6899591.237679158
251,2,100.0,1.0,1.0,2.0,45.0,POINT (1493568.676913181 6899274.093734044),1493568.6769131809,6899274.093734044
252,3,100.0,2.0,1.0,2.0,60.0,POINT (1493893.442167009 6898346.362105085),1493893.4421670088,6898346.362105085
256,2,96.0,1.0,1.0,1.0,80.0,POINT (1493801.314004059 6899582.466673421),1493801.3140040587,6899582.466673421
257,2,100.0,1.0,1.0,1.0,100.0,POINT (1494270.450539208 6898831.40031149),1494270.4505392078,6898831.40031149
258,3,93.0,0.0,1.0,2.0,40.0,POINT (1493317.6861222 6898842.483892565),1493317.6861221995,6898842.483892565
259,2,91.0,1.0,1.0,1.0,70.0,POINT (1493250.688258149 6899111.077870301),1493250.6882581492,6899111.077870301
260,3,98.0,2.0,1.0,2.0,65.0,POINT (1493946.733391971 6899047.684103701),1493946.733391971,6899047.684103701
261,4,92.0,1.0,1.0,1.0,69.0,POINT (1493286.808431748 6899509.628313733),1493286.8084317483,6899509.628313733
262,2,100.0,1.0,1.0,1.0,36.0,POINT (1493408.274936378 6899420.39450542),1493408.2749363775,6899420.39450542
263,4,90.0,2.0,1.0,1.0,50.0,POINT (1493798.800990585 6899387.0748475),1493798.8009905848,6899387.0748475
264,4,93.0,1.0,1.0,1.0,73.0,POINT (1494138.767218775 6899198.082982305),1494138.767218775,6899198.0829823045
265,2,98.0,1.0,1.0,1.0,30.0,POINT (1493481.369477831 6899002.665847558),1493481.3694778306,6899002.665847558
266,2,98.0,1.0,1.0,1.0,40.0,POINT (1493664.266729025 6899439.482982917),1493664.266729025,6899439.482982917
267,2,92.0,1.0,1.0,1.0,45.0,POINT (1493163.837766915 6898690.216415782),1493163.837766915,6898690.2164157815
268,4,91.0,1.0,1.0,2.0,125.0,POINT (1493398.768566896 6899728.103705126),1493398.7685668962,6899728.103705126
269,2,93.0,1.0,0.5,1.0,48.0,POINT (1494396.974590363 6898809.776299183),1494396.9745903634,6898809.776299183
271,2,97.0,1.0,1.0,1.0,95.0,POINT (1494449.426621177 6898908.691952612),1494449.4266211768,6898908.691952612
272,2,93.0,1.0,1.0,1.0,66.0,POINT (1493859.160178922 6898947.064138729),1493859.160178922,6898947.064138729
273,2,92.0,1.0,1.0,4.0,25.0,POINT (1493489.86934141 6898958.565335556),1493489.8693414105,6898958.565335556
274,2,90.0,1.0,1.0,2.0,65.0,POINT (1494411.341051299 6899137.9310498),1494411.3410512994,6899137.9310498005
275,2,100.0,1.0,1.0,1.0,59.0,POINT (1494110.798771253 6899368.812778465),1494110.7987712533,6899368.812778465
276,2,100.0,1.0,1.5,1.0,79.0,POINT (1493684.385220431 6899341.350354604),1493684.3852204308,6899341.350354604
277,2,97.0,1.0,1.0,2.0,48.0,POINT (1493128.777923878 6898603.53853553),1493128.7779238776,6898603.53853553
278,3,92.0,1.0,1.0,1.0,99.0,POINT (1493988.177764304 6898425.400468967),1493988.1777643035,6898425.400468967
279,2,100.0,1.0,1.5,1.0,20.0,POINT (1493362.513838014 6899721.954253746),1493362.5138380143,6899721.954253746
280,2,94.0,1.0,1.0,1.0,24.0,POINT (1493285.470096472 6899600.721276816),1493285.4700964724,6899600.721276816
281,2,100.0,1.0,1.0,2.0,56.0,POINT (1494052.159095005 6898988.812275265),1494052.1590950054,6898988.812275265
282,4,90.0,1.0,1.0,2.0,60.0,POINT (1494073.884596759 6899447.023648157),1494073.8845967592,6899447.023648157
283,2,99.0,1.0,1.0,1.0,59.0,POINT (1493791.912597667 6898977.382612972),1493791.9125976674,6898977.382612972
284,2,100.0,1.0,1.0,1.0,47.0,POINT (1493315.570091784 6899604.252834557),1493315.5700917835,6899604.252834557
286,1,97.0,1.0,1.0,1.0,32.0,POINT (1494263.203075816 6898510.348509707),1494263.2030758164,6898510.3485097075
287,2,90.0,1.0,1.0,2.0,27.0,POINT (1493459.609585699 6898674.199102342),1493459.609585699,6898674.199102342
288,2,99.0,1.0,1.0,1.0,34.0,POINT (1493880.57679795 6899213.809190134),1493880.5767979498,6899213.809190134
290,2,98.0,2.0,1.0,2.0,63.0,POINT (1494347.864470311 6898824.499453234),1494347.8644703105,6898824.4994532345
291,2,96.0,1.0,1.0,1.0,80.0,POINT (1494270.237944478 6898796.243887338),1494270.2379444777,6898796.243887338
293,2,94.0,1.0,1.0,1.0,25.0,POINT (1494240.557474924 6898428.697496053),1494240.557474924,6898428.697496053
294,2,100.0,1.0,1.0,1.0,75.0,POINT (1493503.739375307 6899038.2979607),1493503.7393753072,6899038.2979607
296,4,100.0,1.0,1.5,1.0,95.0,POINT (1494255.095625097 6898255.307824693),1494255.0956250972,6898255.307824693
297,1,100.0,1.0,1.0,1.0,35.0,POINT (1493729.088435777 6899490.734452072),1493729.088435777,6899490.734452072
298,2,94.0,0.0,1.0,2.0,65.0,POINT (1494517.10180867 6898947.33900505),1494517.1018086697,6898947.33900505
299,2,84.0,1.0,1.0,1.0,25.0,POINT (1494224.258499136 6898405.953250347),1494224.2584991357,6898405.953250347
300,1,100.0,0.0,1.0,1.0,40.0,POINT (1493257.082859772 6899372.829164638),1493257.082859772,6899372.829164638
301,2,95.0,1.0,1.0,1.0,27.0,POINT (1494290.591887272 6899317.745895081),1494290.591887272,6899317.745895081
302,3,100.0,1.0,1.5,1.0,80.0,POINT (1493550.382773547 6898727.339815903),1493550.3827735465,6898727.3398159025
303,2,94.0,1.0,1.0,1.0,40.0,POINT (1493741.358435161 6899438.078169198),1493741.3584351607,6899438.078169198
304,6,98.0,2.0,2.0,3.0,139.0,POINT (1493783.838564452 6899477.484291755),1493783.8385644516,6899477.484291755
305,4,95.0,2.0,1.0,3.0,129.0,POINT (1493449.988272141 6899241.479437294),1493449.9882721412,6899241.479437294
306,2,96.0,1.0,1.0,1.0,55.0,POINT (1494210.915129596 6898383.833635078),1494210.9151295957,6898383.833635078
307,3,100.0,1.0,1.0,2.0,65.0,POINT (1493511.991798104 6898441.861531721),1493511.9917981043,6898441.861531721
308,1,90.0,1.0,1.0,1.0,35.0,POINT (1493917.001368281 6898868.72106674),1493917.0013682812,6898868.72106674
310,2,98.0,1.0,1.0,1.0,73.0,POINT (1494189.83891618 6899021.687599204),1494189.8389161804,6899021.687599204
311,2,90.0,1.0,1.0,1.0,40.0,POINT (1493583.812448062 6899060.886305908),1493583.812448062,6899060.886305908
312,2,93.0,2.0,1.0,2.0,89.0,POINT (1493660.054824993 6898547.026978538),1493660.0548249935,6898547.026978538
314,4,95.0,1.0,1.0,2.0,120.0,POINT (1493745.522792004 6898940.963228343),1493745.5227920038,6898940.963228343
316,4,97.0,2.0,1.0,4.0,60.0,POINT (1493936.85931716 6899121.829478893),1493936.8593171595,6899121.829478893
318,4,80.0,2.0,1.5,3.0,107.0,POINT (1493379.451374883 6899105.710514371),1493379.4513748833,6899105.710514371
322,4,88.0,1.0,1.0,2.0,98.0,POINT (1493454.806276771 6898776.628512139),1493454.8062767708,6898776.6285121385
323,2,100.0,1.0,1.0,1.0,22.0,POINT (1494530.877275685 6899105.934291149),1494530.8772756848,6899105.934291149
324,2,94.0,0.0,1.0,1.0,60.0,POINT (1494153.353559411 6898739.766781542),1494153.3535594114,6898739.766781542
325,2,95.0,1.0,1.0,1.0,135.0,POINT (1494291.156508738 6898763.099948942),1494291.1565087384,6898763.099948942
326,1,100.0,1.0,2.0,1.0,34.0,POINT (1494563.723337956 6898868.192086309),1494563.7233379555,6898868.192086309
327,2,87.0,1.0,1.0,1.0,44.0,POINT (1494180.643619762 6898924.993861626),1494180.6436197623,6898924.993861626
